Name of file,Num of Isochromes (center cross - section ),error (center cross-section),Num of Isochromes left side (vertically),error left (vertically),Num of Isochromes right side (vertically),error right (vertically),number of turns,bad data,L (mm),Compression  (dL/L),Compression error, curvature of the bent structure (1/m),Curvature error,Force (N)
carb_1_0N_0turn_red,3,1,3,1,3,1,0,,100,0,0.001,,,0
carb_1_72N_0.5turn_red,5,1,5,1,5,1,0.5,.5,100,0.001175,0.001,,,72
carb_1_128N_1turn_red,6,1,,,,,1,,100,0.00235,0.001,,,128
carb_1_222N_1.5turn_red,8,1,,,,,1.5,.5,100,0.003525,0.001,,,222
carb_1_342N_2turn_red,10,1,,,,,2,,100,0.0047,0.001,,,342
carb_1_480N_2.5turn_red,12,1,,,,,2.5,.5,100,0.005875,0.001,,,480
carb_1_614N_3turn_red,14,1,,,,,3,,100,0.00705,0.001,,,614
carb_1_754N_3.5turn_red,14,2,,,,,3.5,.5,100,0.008225,0.001,,,754
carb_1_900N_4turn_red,16,2,,,,,4,,100,0.0094,0.001,,,900
carb_1_1040N_4.5turn_red,18,1,,,,,4.5,.5,100,0.010575,0.001,,,1040
carb_1_1172N_5turn_red,20,2,,,,,5,,100,0.01175,0.001,,,1172
carb_1_1300N_5.5turn_red,23,2,,,,,5.5,.5,100,0.012925,0.001,,,1300
carb_1_1414N_6.5turn_red,24,2,,,,,6.5,.5,100,0.015275,0.001,,,1414
carb_2_0N_0turn_red,1,1,1,1,1,1,0,,140,0,0.0007142857143,,,0
carb_2_50N_0.5turn_red,3,1,3,1,3,1,0.5,.5,140,0.0008392857143,0.0007142857143,,,50
carb_2_114N_1turn_red,4,1,4,1,4,1,1,,140,0.001678571429,0.0007142857143,,,114
carb_2_160N_1.5turn_red,6,1,6,1,4,1,1.5,.5,140,0.002517857143,0.0007142857143,,,160
carb_2_256N_2turn_red,8,1,9,1,5,1,2,,140,0.003357142857,0.0007142857143,,,256
carb_2_358N_2.5turn_red,11,1,13,1,5,1,2.5,.5,140,0.004196428571,0.0007142857143,,,358
carb_2_462N_3turn_red,13,1,14,1,6,1,3,,140,0.005035714286,0.0007142857143,,,462
carb_2_562N_3.5turn_red,14,1,17,1,6,1,3.5,.5,140,0.005875,0.0007142857143,,,562
carb_2_660N_4turn_red,17,1,19,1,5,1,4,,140,0.006714285714,0.0007142857143,,,660
carb_2_760N_4.5turn_red,19,1,21,1,5,1,4.5,.5,140,0.007553571429,0.0007142857143,,,760
carb_2_864N_5turn_red,21,2,24,1,4,1,5,,140,0.008392857143,0.0007142857143,,,864
carb_2_948N_5.5turn_red,24,2,28,2,5,1,5.5,.5,140,0.009232142857,0.0007142857143,,,948
carb_2_1040N_6turn_red,27,2,30,2,6,1,6,,140,0.01007142857,0.0007142857143,,,1040
carb_2_1066N_6.5turn_red,29,2,27,2,7,1,6.5,.5,140,0.01091071429,0.0007142857143,,,1066
carb_2_1150N_7turn_red,29,3,25,3,7,1,7,,140,0.01175,0.0007142857143,,,1150
carb_2_1150N_7.5turn_red,30,3,25,3,7,,7.5,.5,140,0.01258928571,0.0007142857143,,,1150
carb_2_1220N_8turn_red,30,3,28,3, 8,1,8,,140,0.01342857143,0.0007142857143,,,1220
carb_2_1230N_8.5turn_red,30,4,26,3,6,1,8.5,.5,140,0.01426785714,0.0007142857143,,,1230
carb_2_1260N_9turn_red,31,4,24,3, 8,1,9,,140,0.01510714286,0.0007142857143,,,1260
carb_2_0N_0turn_red_2,1,1,1,1,1,1,0,,140,0,0.0007142857143,,,0
carb_2_16N_0.5turn_red_2,2,1,2,1,2,1,0.5,.5,140,0.0008392857143,0.0007142857143,,,16
carb_2_40N_1turn_red_2,4,1,3,1,4,1,1,,140,0.001678571429,0.0007142857143,,,40
carb_2_80N_1.5turn_red_2,6,1,5,1,6,1,1.5,.5,140,0.002517857143,0.0007142857143,,,80
carb_2_122N_2turn_red_2,8,2,6,2,9,1,2,,140,0.003357142857,0.0007142857143,,,122
carb_2_172N_2.5turn_red_2,10,1,5,2,11,2,2.5,.5,140,0.004196428571,0.0007142857143,,,172
carb_2_244N_3turn_red_2,14,1,6,1,15,1,3,,140,0.005035714286,0.0007142857143,,,244
carb_2_312N_3.5turn_red_2,16,1,8,1,15,2,3.5,.5,140,0.005875,0.0007142857143,,,312
carb_2_398N_4turn_red_2,18,2,8,1,16,1,4,,140,0.006714285714,0.0007142857143,,,398
carb_2_476N_4.5turn_red_2,22,2,8,1,16,1,4.5,.5,140,0.007553571429,0.0007142857143,,,476
carb_2_554N_5turn_red_2,24,2,8,1,16,2,5,,140,0.008392857143,0.0007142857143,,,554
carb_2_630N_5.5turn_red_2,26,2,8,1,16,1,5.5,.5,140,0.009232142857,0.0007142857143,,,630
carb_2_700N_6turn_red_2,28,2,8,1,16,2,6,,140,0.01007142857,0.0007142857143,,,700
carb_2_12N_0turn_red_3,2,1,2,1,2,1,0,,140,0,0.0007142857143,,,12
carb_2_66N_1turn_red_3,5,1,5,1,6,1,1,,140,0.001678571429,0.0007142857143,,,66
carb_2_124N_2turn_red_3,10,1,9,1,10,1,2,,140,0.003357142857,0.0007142857143,,,124
carb_2_188N_3turn_red_3,16,1,13,2,15,2,3,,140,0.005035714286,0.0007142857143,,,188
carb_2_256N_4turn_red_3,21,2,16,2,18,2,4,,140,0.006714285714,0.0007142857143,,,256
carb_2_322N_5turn_red_3,27,2,20,2,18,2,5,,140,0.008392857143,0.0007142857143,,,322
carb_2_400N_6turn_red_3,33,2,21,2,20,2,6,,140,0.01007142857,0.0007142857143,,,400
carb_2_616N_9turn_red_3,52,4,17,2,22,3,9,,140,0.01510714286,0.0007142857143,,,616